day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,excitability_ratio,ltp_proxy,structural_neural_integrity_proxy,scenario,shield_mm_Al
161.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
162.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
163.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
164.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
165.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
166.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
167.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
168.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
169.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
170.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
171.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
172.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
173.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
174.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
175.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
176.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
177.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
178.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
179.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
180.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
0.0,325677.7777777778,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,VAB_RBSP_like,0.6
1.0,325677.7777777778,5.594840129754182,0.0,0.0,0.040725161734699394,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
2.0,325677.7777777778,8.287645477445178,0.0018296083472930285,0.00043269642458750284,0.04237981849957023,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
3.0,325677.7777777778,9.583696923489235,0.0,0.0,0.04286921689569457,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
4.0,325677.7777777778,10.207488521434934,0.0018296083472930285,0.00043269642458750284,0.043063548217396094,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.6
5.0,325677.7777777778,10.507720397920508,0.0,0.0,0.0431494127849392,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.6
