scenario,shield_mm_Al,day,dose_rate_mGy_day,ros_norm_R,mitochondrial_integrity_M,fast_redox_channel_stress,slow_mito_pump_stress,neural_risk_proxy_0to1
VAB_RBSP_like,1.0,12,140016.6666666667,0.7999999523162842,0.8754038121327501,0.7999999523162842,0.12459618786724991,0.39475769364686364
VAB_RBSP_like,1.0,13,140016.6666666667,0.800000011920929,0.8652727555768964,0.800000011920929,0.13472724442310358,0.4008363514222337
VAB_RBSP_like,1.0,14,140016.6666666667,0.7999999970197678,0.8552936640885201,0.7999999970197678,0.14470633591147986,0.40682380035479504
VAB_RBSP_like,1.0,15,140016.6666666667,0.8000000007450581,0.845464259165427,0.8000000007450581,0.154535740834573,0.41272144479876705
VAB_RBSP_like,1.0,16,140016.6666666667,0.7999999998137355,0.8357822952684968,0.7999999998137355,0.1642177047315032,0.4185306227643961
VAB_RBSP_like,1.0,17,140016.6666666667,0.8000000000465661,0.8262455608418044,0.8000000000465661,0.17375443915819555,0.42425266351354385
VAB_RBSP_like,1.0,18,140016.6666666667,0.7999999999883585,0.8168518774286002,0.7999999999883585,0.18314812257139979,0.4298888735381833
VAB_RBSP_like,1.0,19,140016.6666666667,0.8000000000029104,0.8075990992673139,0.8000000000029104,0.19240090073268612,0.43544054044077585
VAB_RBSP_like,1.0,20,140016.6666666667,0.7999999999992724,0.798485112778269,0.7999999999992724,0.20151488722173105,0.4409089323327476
VAB_RBSP_like,1.0,21,140016.6666666667,0.8000000000001819,0.7895078360866036,0.8000000000001819,0.21049216391339642,0.44629529834811066
VAB_RBSP_like,1.0,22,140016.6666666667,0.7999999999999545,0.7806652185453024,0.7999999999999545,0.21933478145469765,0.45160086887280043
VAB_RBSP_like,1.0,23,140016.6666666667,0.8000000000000114,0.7719552402671234,0.8000000000000114,0.22804475973287663,0.45682685583973054
VAB_RBSP_like,1.0,24,140016.6666666667,0.7999999999999972,0.7633759116631164,0.7999999999999972,0.23662408833688364,0.4619744530021291
VAB_RBSP_like,1.0,25,140016.6666666667,0.8000000000000007,0.7549252729881697,0.8000000000000007,0.2450747270118303,0.46704483620709847
VAB_RBSP_like,1.0,26,140016.6666666667,0.7999999999999998,0.7466013938933471,0.7999999999999998,0.2533986061066529,0.4720391636639917
VAB_RBSP_like,1.0,27,140016.6666666667,0.8,0.7384023729849469,0.8,0.26159762701505307,0.4769585762090319
VAB_RBSP_like,1.0,28,140016.6666666667,0.8,0.7303263373901727,0.8,0.2696736626098273,0.48180419756589643
VAB_RBSP_like,1.0,29,140016.6666666667,0.8,0.7223714423293202,0.8,0.27762855767067984,0.4865771346024079
VAB_RBSP_like,1.0,30,140016.6666666667,0.8,0.7145358706943804,0.8,0.2854641293056196,0.49127847758337184
VAB_RBSP_like,1.0,31,140016.6666666667,0.8,0.7068178326339647,0.8,0.2931821673660353,0.4959093004196212
VAB_RBSP_like,1.0,32,140016.6666666667,0.8,0.6992155651444553,0.8,0.30078443485554474,0.5004706609133269
VAB_RBSP_like,1.0,33,140016.6666666667,0.8,0.6917273316672884,0.8,0.3082726683327116,0.504963600999627
VAB_RBSP_like,1.0,34,140016.6666666667,0.8,0.684351421692279,0.8,0.315648578307721,0.5093891469846327
VAB_RBSP_like,1.0,35,140016.6666666667,0.8,0.6770861503668948,0.8,0.3229138496331052,0.5137483097798632
VAB_RBSP_like,1.0,36,140016.6666666667,0.8,0.6699298581113914,0.8,0.3300701418886086,0.5180420851331652
VAB_RBSP_like,1.0,37,140016.6666666667,0.8,0.6628809102397205,0.8,0.3371190897602795,0.5222714538561677
VAB_RBSP_like,1.0,38,140016.6666666667,0.8,0.6559376965861247,0.8,0.34406230341387534,0.5264373820483252
VAB_RBSP_like,1.0,39,140016.6666666667,0.8,0.6490986311373328,0.8,0.3509013688626672,0.5305408213176004
VAB_RBSP_like,1.0,40,140016.6666666667,0.8,0.6423621516702728,0.8,0.3576378483297272,0.5345827089978363
VAB_RBSP_like,1.0,41,140016.6666666667,0.8,0.6357267193952186,0.8,0.36427328060478137,0.5385639683628689
VAB_RBSP_like,1.0,42,140016.6666666667,0.8,0.6291908186042904,0.8,0.3708091813957096,0.5424855088374259
VAB_RBSP_like,1.0,43,140016.6666666667,0.8,0.622752956325226,0.8,0.377247043674774,0.5463482262048645
